order,target_feature,ground_truth,context_features,source_file,mean_delta,std_fold_delta,se_unit_mean,ci95_boot_low,ci95_boot_high,n_units,n_repeats,n_seeds,n_folds_total,interval_unit,n,protocol,loss,calibrated,context_feature
2.0,X6,,"('X4',)",exp7_xor3_records.csv,-0.006838636849963437,0.013306048255944256,0.002004255086803757,-0.009807531928436888,-0.0030079746769378964,5,5,0,25,repeat_mean,,,,,
2.0,X6,,"('X5',)",exp7_xor3_records.csv,0.00883569155526648,0.016347093919246297,0.003576603225483539,0.0021378138461046804,0.014627515125987211,5,5,0,25,repeat_mean,,,,,
2.0,X6,,"('X7',)",exp7_xor3_records.csv,-0.00011512108443565531,0.016378646397611687,0.0025777758283499225,-0.004145755956398489,0.005205363820875139,5,5,0,25,repeat_mean,,,,,
2.0,X6,,"('X8',)",exp7_xor3_records.csv,0.00033525869802769197,0.021874166151027424,0.005127971561371004,-0.00818945611537818,0.008859973511433564,5,5,0,25,repeat_mean,,,,,
2.0,X6,,"('X9',)",exp7_xor3_records.csv,0.0019873107392112755,0.01871327338110266,0.001089302442521398,0.00028169028307612436,0.0040166833962394285,5,5,0,25,repeat_mean,,,,,
2.0,X7,,"('X1',)",exp7_xor3_records.csv,0.004277422768780939,0.016763824047777105,0.004152862939077448,-0.0028753220073157075,0.011430167544877589,5,5,0,25,repeat_mean,,,,,
2.0,X7,,"('X10',)",exp7_xor3_records.csv,0.002884260347239959,0.017547202933599217,0.00332752004749507,-0.003089437219642596,0.00822631512624362,5,5,0,25,repeat_mean,,,,,
2.0,X7,,"('X2',)",exp7_xor3_records.csv,0.00533478502934492,0.01848084923793854,0.003057053113258037,-0.0005021525477399041,0.010013560202031905,5,5,0,25,repeat_mean,,,,,
2.0,X7,,"('X3',)",exp7_xor3_records.csv,-0.0035179314626855285,0.019332134992577386,0.004803531173586964,-0.011480262288292145,0.004409906492996948,5,5,0,25,repeat_mean,,,,,
2.0,X7,,"('X4',)",exp7_xor3_records.csv,0.0032397883914798,0.015416414804776011,0.004419067901474718,-0.00392667013162102,0.010688089290481349,5,5,0,25,repeat_mean,,,,,
2.0,X7,,"('X5',)",exp7_xor3_records.csv,-0.004534176436648176,0.016255218755794738,0.0010086198994637525,-0.006257292273119691,-0.0027444893884709925,5,5,0,25,repeat_mean,,,,,
2.0,X7,,"('X6',)",exp7_xor3_records.csv,-0.0031768834577947285,0.01848879755911595,0.003241074374612464,-0.008393328324562535,0.0027132763000419233,5,5,0,25,repeat_mean,,,,,
2.0,X7,,"('X8',)",exp7_xor3_records.csv,-0.005238986702944772,0.017759251636460055,0.0025728867014480844,-0.00977268062564643,-0.000705292780243116,5,5,0,25,repeat_mean,,,,,
2.0,X7,,"('X9',)",exp7_xor3_records.csv,0.0062654863777419365,0.012127499639723436,0.0023027919840896303,0.002222432122690396,0.010009654832038504,5,5,0,25,repeat_mean,,,,,
2.0,X8,,"('X1',)",exp7_xor3_records.csv,0.0042201015851710925,0.014360386218711265,0.0024491029101753577,0.00011460022551658804,0.008357433194230842,5,5,0,25,repeat_mean,,,,,
2.0,X8,,"('X10',)",exp7_xor3_records.csv,0.001164734708281463,0.019273472362571046,0.003527128798951883,-0.003669040038256052,0.008277187016521876,5,5,0,25,repeat_mean,,,,,
2.0,X8,,"('X2',)",exp7_xor3_records.csv,-0.009303537026471161,0.015665887811512767,0.003189694138065911,-0.014493389609590018,-0.0036280224550909166,5,5,0,25,repeat_mean,,,,,
2.0,X8,,"('X3',)",exp7_xor3_records.csv,-0.004705632361385408,0.01610921404576108,0.0029989664928199884,-0.008274847452679616,0.0012674715248923243,5,5,0,25,repeat_mean,,,,,
2.0,X8,,"('X4',)",exp7_xor3_records.csv,0.0004492740583562201,0.020072221150755014,0.003313147259805285,-0.0054577569661248245,0.006356305082837264,5,5,0,25,repeat_mean,,,,,
2.0,X8,,"('X5',)",exp7_xor3_records.csv,-0.0073357546182694165,0.019615243237608264,0.002560584570171983,-0.01176289823181066,-0.0028487387758616882,5,5,0,25,repeat_mean,,,,,
2.0,X8,,"('X6',)",exp7_xor3_records.csv,0.0018065500907630482,0.013179758841727342,0.002560607569040694,-0.002606472861828568,0.006162401123207228,5,5,0,25,repeat_mean,,,,,
2.0,X8,,"('X7',)",exp7_xor3_records.csv,-0.007118326687400648,0.01645643047529611,0.0013714800199841023,-0.009618089534462455,-0.004684136558362664,5,5,0,25,repeat_mean,,,,,
2.0,X8,,"('X9',)",exp7_xor3_records.csv,0.0028654359918287397,0.015596658083393042,0.0037296115986050456,-0.0040615576595843875,0.009803639395276172,5,5,0,25,repeat_mean,,,,,
